Title,Title 2,Content,Dictionary Categories,Slug
วงจรไฟฟ้า,Electric Circuit,"วงจรไฟฟ้า, ตัวนำไฟฟ้าหรือระบบของตัวนำไฟฟ้า  ซึ่งนำมาต่อกันเพื่อให้กระแสไฟฟ้าผ่านได้ ",General,
ไส้กรอง,Element,กรองฟิวส์เตอร์,General,
ปั้มฉุกเฉิน,Emergency Pump,มอเตอร์สำรองที่ใช้สำหรับเก็บบูม,General,
สวิทซ์ฉุกเฉิน,Emergenecy Switch,หากมีเหตุฉุกเฉิน ให้ปิดสวิทซ์ทันที (สวิทซ์หัวสีแดง),General,
น้ำมันเครื่อง,Engine Oil 15W40,ใช้กับรถกระเช้ากับบูมที่เป็นรุ่นเครื่องยนต์ดีเซลเท่านั้น,General,
บูมชุดยืด,Extend boom,ยืดบูม,General,
ตัวกรอง,Filter,ไส้กรอง,General,
ฟิตติ้ง,Fitting,ข้อต่อสายไฮโดรลิค,General,
,Foot,1ฟุต = 30.48ซม. เป็นที่นิยทสำหรับคนอเมริกา,Boom & Scissors,
ฟุตสวิทย์,Foot Switch,รถกระเช้ามีระบบเซฟตี้ เวลาใช้งานบังคับให้เหยียบที่ตัวบังคับFoot switch,Boom Lift,
,Form Tire,บูมลิฟท์มักจะใช้ยางโฟม ยูรีเทน อัดเข้าไปไม่ให้ยางแบน,Boom Lift,
กรองน้ำมันเบนซิน,Fuel Filter,กรองน้ำมัน ดักจับเศษผงไม่ให้เข้าตัวเครื่อง,General,
ปั้มAC,Fuel Pump (AC Pump),,General,
มอเตอร์ฟังก์ชั่น,Function Motor,ตัวปั่นปั้มน้ำมันไฮโดรลิคฟังก์ชั่น,Boom & Scissors,
ฟิวส์,Fuse,อุปกรณ์ไฟฟ้าชนิดหนึ่งทำด้วยโลหะที่มีจุดหลอมเหลวต่ำ,General,
กล่องคอนโทรลด้านล่าง,G Con,"ตัวกรรไกรของจีนี่สามารถบังคับข้างบน,ข้างล่างได้ ข้างบนเรียก P Con ข้างล่างเรียก G Con",Scissors Lift,
วงแหวนอัดลูกสูบ,Gasket,วงแหวนสำหรับอัดข้อต่อในเครื่องจักร,General,
น้ำมันเกียร์,Gear Oil 80W90,รถกระเช้าส่วนใหญ่ใช้น้ำมันเกียร์รุ่นนี้,General,
จาระบี,Grease,ของเหลวที่ใช้หล่อลื่น,General,
กราวน์,Ground Earth,,General,
สายไฟ,Harness,,General,
รถเฮี๊ยบ,Hiab Crane,รถเฮี๊ยบที่ติดตั้งเครน,Truck Crane,
,Highrider,บางเจ้าเรียก Sky MasterหรือHigh Rider คือรถบรรทุกติดกระเช้าลักษณะคล้ายรถของการไฟฟ้า,Skymaster,
มิเตอร์วัดชั่วโมงการทำงาน,Hour Meter,มิเตอร์วัดชั่วโมงการทำงานของลิฟท์,General,
สายไฮโดรลิค,Hydralic Hose,,General,
น้ำมันไฮโดรลิค,Hydraulic Oil 46,น้ำมันไฮดรอลิคที่ใช้มาตรฐาน 46คือความเหนียว,General,
ปั้มไฮโดรลิค,Hydraulic Pump,ปั้มที่ติดกับมอเตอร์ฟังก์ชั่น,General,
นิ้ว,Inch,2.54cm/Inch,General,
,indicator,ตัวแสดงไฟที่หน้าจอ,General,
,Interlock System,ระบบเซฟตี้ที่ป้องกันการชาร์จไปทำงานไป,Skymaster,
,Jack Up,การตั้งขาหยั่ง,Skymaster,
จิ๊บ,Jib,แขนท่อนที่ติดกับกระเช้าข้อดีคือสามารถเข้าทำงานที่แคบๆได้ บางรุ่นสามารถขึ้นลง ซ้ายขวาได้,Boom Lift,
,JLG Hand Held Analyzer,เวลาบูมลิฟท์มีปัญหาสามารถเสียบสายเช็คได้ว่ามีปัญหาตรงจุดไหน,Boom Lift,
จอยบังคับการทำงาน,Joystick,ที่บังคับการขับเคลื่อนกับเลี้ยว,General,
กิโลกรัม/ปอนด์,Lbs (Pound),0.45kg/lbs,General,
กระบอกไฮดรอลิคตัวปรับบาลานซ์,Leveling Cylinder,"การปรับตัวกระเช้าบูมลิฟท์ข้างบน,ข้างล่างมี2ตัว ให้กระเช้าบาลานซ์กัน",General,
ลิมิตสวิตช์,Limit Switch, เป็นสวิตช์ที่จำกัดระยะการทำงาน ,General,
ชุดควบคุมระบบไฮโดรลิค,Manifold,จะเป็นบล็อคจ่ายน้ำมันแต่ละฟังก์ชั่นไฮดรอลิค,Boom & Scissors,
กล่องควบคุมมอเตอร์ขับเคลื่อน,Motor Controller,"ควบคุมมอเตอร์ขับเคลื่อน เป็นเครื่องที่ปล่อยกราวน์,ปล่อยไฟ หน้าที่จะขับเคลื่อนมากกว่า",Boom & Scissors,
ล้อไม่ทิ้งรอย,Non-Marking Tire,ล้อที่ไม่มีรอยเวลาวิ่ง จะมีแค่ฝุ่น,Boom & Scissors,
,Nut,คนส่วนใหญ่เรียกทั้งหมดว่าน๊อต แต่ที่จริงน๊อตคือแหวนกลมๆ จะมีน๊อตตัวผู้ตัวเมีย,General,
โอริง,O Ring,วัสดุที่มีพื้นที่หน้าตัดเป็นรูปวงกลม และมีรูปทรงเป็นวงกลมด้วยเช่นกัน ผลิตมาจากวัสดุที่มีคุณสมบัติยีดยุ่นได้ ,General,
ความต้านทานไฟฟ้า,Ohm (Ω),หน่วยวัดความต้านทาน ความต้านทาน 1 โอห์ม คือ ความต้านทานระหว่างจุด 2 จุดบนตัวนำ ซึ่งเมื่อจุดคู่นี้มีความต่างศักย์ไฟฟ้า 1 โวลต์แล้ว จะทำให้มีกระแสไฟฟ้าไหลผ่านได้ 1 แอมแปร์,General,
ขาหยั่ง,Outrigger,ขาหยั่ง/ขาค้ำสำหรับลิฟท์กระเช้ารุ่น AWP GS-3232 Z-80 S-85 GS-5390,Skymaster,
กล่องคอนโทรลด้านบน,P Con,"ตัวกรรไกรของจีนี่สามารถบังคับข้างบน,ข้างล่างได้ ข้างบนเรียก P Con ข้างล่างเรียก G Con",Boom & Scissors,
ตัวกระเช้า,Platform,,Boom & Scissors,
ความสูง,Platform Height,ความสูงจากพื้นดินถึงพื้นกระเช้า,Boom & Scissors,
เซ็นเซอร์ที่ชั่งน้ำหนัก,Platform Load Sensor,รถกระเช้าปกติรับน้ำหนักได้ 200-227 กก. ถ้าเกินจะไม่ให้ยกกระเช้า,Boom & Scissors,
หมุนกระเช้า,Platform Rotation,ควบคุมการสวิงกระเช้า,Boom Lift,
,Power Pack,เครื่องให้กำลังกระแสไฟฟ้า เช่น หม้อแบตเตอรี่ที่ใช้ในรถยนต์,Boom & Scissors,
สวิทซ์แรงดัน,Pressure Switch,ทำหน้าที่เปิดระบบเบรค ,Boom Lift,
,Primary Boom,แขนบูมท่อนที่ 1,Boom Lift,
ระบบขับเคลื่อนเครื่องยนต์,PTO (Power Take Off),ระบบในการแปลงแรงจากเครื่องยนต์ของรถบรรทุกเพื่อใช้กับวัตถุประสงค์อื่นนอกจากขับเคลื่อนรถ,Skymaster,
ปั้ม,Pump,ตัวปั่นน้ำมัน,General,
รีเลย์,Relay,หน้าสัมผัสไฟฟ้า,General,
วาล์วระบายความดัน,Relief Valve,ตัวเช็ควาล์ระบบย้อนกลับ,Boom & Scissors,
,Retract boom,หดบูม,Boom Lift,
หมุน,Rotation,,Boom Lift,
,Rotator Platform,ระบบไฮดรอลิคที่สามารถหมุนกระเช้าได้ จะมี2อย่าง,Boom Lift,
สวิงบูม,Rotator Turntable,ที่บูมหมุนได้360องศา ที่อยู่ด้านล่าง,Boom Lift,
ลิฟท์กระเช้าแบบขากรรไกร,Scissors Lift,รถที่สามารถทำงานขึ้น-ลงอย่างเดียว,Scissors Lift,
สกรู,Screw,"สิ่งที่เป็นเกลียว, สลักเกลียว",General,
ซีล,Seal,ยางกันน้ำมันรั่ว,General,
,Secondary Boom,แขนบูมท่อนที่2,Boom Lift,
,Skyboy,ผู้ผลิตเคนรถกระเช้าของญี่ปุ่น Tadano เรียกรุ่นรถว่า Skyboy,Skymaster,
,Skymaster,ผู้ผลิตเคนรถกระเช้าของญี่ปุ่น Aichi เรียกรุ่นรถว่า Skymaster,Skymaster,
,Smart Link,ชื่อระบบคอมพิวเตอร์ของตัวกรรไกร หน้าจอด้านล่าง,Scissors Lift,
เต้าเสียบ,Socket,"ปลั๊กตัวเมีย, ช่องเสียบ",General,
โซลินอยด์วาล์ว,Solenoid Valve,อุปกรณ์สวิตช์ที่อาศัย หลักการทำงานของแม่เหล็กไฟฟ้าทำงานร่วมกับกลไกโดยใช้การป้อนไฟเป็นตัวกำหนด การทำงานควบคุมให้ลิ้นกลไกปิดหรือเปิดได้,General,
ล้อยาง,Solid Tire,ล้อยางตัน ส่วนใหญ่ใช้ในรถโฟล์คลิฟท์,General,
ที่กั้นระยะ,Spacer,ระยะหุ้มคอนกรีต,General,
,Spider Crane,รถเครนขนาดเล็กที่มีล้อตีนตะขาบใช้สำหรับยกของทำงานในพื้นที่แคบๆ,General,
,Spider Lift,ใช้สำหรับงานที่มีพื้นที่รับน้ำหนักขนาดจำกัด กางขาเหมือนแมงมุม,Boom & Scissors,
โลหะที่เด้งได้,Spring,คือส่วนของโลหะทีม้วนรอบเป็นวงกลมเพื่อที่จะทำให้ยืดหยุ่นได้,Boom & Scissors,
เก็บ,Storage,เก็บบูม เก็บขาช้าง เก็บตัวกระเช้า,Boom & Scissors,
ไฟแวป,"Strobe Beacon, Flashing Beacon",สัญญาณไฟฉุกเฉิน,Boom Lift,
,Telescopic,บูมที่ยืดแบบตรง,Boom Lift,
ตัวเช็คระดับลาดเอียง,Tilt Sensor,ที่วัดองศาของเครื่องจักร หากไม่อยู่ในพื้นที่ราบเรียบ รถจะไม่ทำงานในกรณีการยก,Boom & Scissors,
,Toggle Switch,ทอกเกิลสวิตซ์ ,General,
หลอด,Tube,หลอด เช่น ลำกล้อง ยางในรถยนต์,General,
,Up & Over,จิ๊บบูม ขึ้น-ลง,Boom Lift,
วาล์วเบรค,Valve Brake,วาวล์ของเบรคตัวปลดเบรค ถ้าตัววาล์วไม่เปิดน้ำมันก็จะไม่จ่ายทำให้เบรคไม่ได้,General,
แรงดันไฟฟ้า,Volt (V),,General,
แหวน,Washer,เพื่อป้องกันไม่ให้น็อตหลุด,General,
สัญลักษณ์,Watt (W),หน่วยวัดกำลังไฟฟ้า,General,
สลิง,Wire Rope,,General,
ความสูงในการทำงาน,Working Height,,General,
รัศมีการทำงาน,Working Radius,,General,
ลิฟท์กระเช้าแบบขากรรไกร,X Lift,ชื่อรถยกในการทำงานที่สุง ลักษณะคล้ายกับกรรไกร,Scissors Lift,
